open_time,open,high,low,close,volume
2022-04-29 00:00:00,2936.92,2946.46,2925.7,2943.74,11812.7215
2022-04-29 01:00:00,2943.74,2944.83,2927.45,2931.65,14020.1453
2022-04-29 02:00:00,2931.66,2936.35,2905.65,2911.17,22438.747
2022-04-29 03:00:00,2911.17,2928.21,2904.14,2926.21,17850.9927
2022-04-29 04:00:00,2926.21,2927.14,2909.61,2920.01,13914.1666
2022-04-29 05:00:00,2920.0,2935.9,2919.73,2921.86,15482.8937
2022-04-29 06:00:00,2921.86,2928.5,2908.74,2920.77,12053.5642
2022-04-29 07:00:00,2920.78,2929.72,2915.0,2925.85,14114.4525
2022-04-29 08:00:00,2925.84,2927.79,2905.0,2906.29,12537.125
2022-04-29 09:00:00,2906.3,2906.3,2875.46,2880.21,22890.0979
2022-04-29 10:00:00,2880.22,2889.39,2852.48,2862.63,21654.836
2022-04-29 11:00:00,2862.64,2868.92,2834.28,2843.11,26459.0554
2022-04-29 12:00:00,2843.11,2874.97,2832.07,2859.46,26375.3836
2022-04-29 13:00:00,2859.46,2886.23,2835.3,2879.25,36749.4679
2022-04-29 14:00:00,2879.25,2883.43,2843.11,2859.1,29662.8958
2022-04-29 15:00:00,2859.09,2867.82,2846.11,2856.51,24243.6807
2022-04-29 16:00:00,2856.51,2857.53,2808.32,2815.93,34068.5163
2022-04-29 17:00:00,2815.94,2836.03,2805.26,2822.72,25530.5807
2022-04-29 18:00:00,2822.71,2829.0,2800.26,2816.19,33296.8176
2022-04-29 19:00:00,2816.2,2820.46,2776.63,2792.96,56307.9832
2022-04-29 20:00:00,2792.95,2815.09,2789.07,2807.18,24464.9727
2022-04-29 21:00:00,2807.17,2818.15,2801.36,2807.8,11400.3942
2022-04-29 22:00:00,2807.81,2823.0,2795.45,2819.26,10493.4218
2022-04-29 23:00:00,2819.26,2823.17,2809.08,2817.13,8155.2347
2022-04-30 00:00:00,2817.13,2829.65,2812.19,2826.25,12361.709
2022-04-30 01:00:00,2826.25,2834.05,2821.0,2825.63,11626.525
2022-04-30 02:00:00,2825.63,2837.82,2822.51,2825.04,13250.9551
2022-04-30 03:00:00,2825.05,2825.77,2810.45,2818.26,10831.8427
2022-04-30 04:00:00,2818.26,2824.0,2809.16,2820.99,9613.6232
2022-04-30 05:00:00,2821.0,2841.63,2818.0,2836.3,9848.9019
2022-04-30 06:00:00,2836.31,2839.39,2825.18,2831.58,7775.4544
2022-04-30 07:00:00,2831.57,2833.0,2822.54,2829.79,8555.4112
2022-04-30 08:00:00,2829.79,2832.58,2820.46,2822.3,12603.0336
2022-04-30 09:00:00,2822.29,2834.95,2817.69,2833.45,9940.8528
2022-04-30 10:00:00,2833.46,2840.0,2829.01,2830.08,10621.3249
2022-04-30 11:00:00,2830.07,2836.28,2829.19,2830.76,7312.0944
2022-04-30 12:00:00,2830.76,2836.66,2821.46,2825.02,7886.4073
2022-04-30 13:00:00,2825.02,2830.49,2813.9,2821.05,10874.6488
2022-04-30 14:00:00,2821.06,2824.8,2779.0,2784.0,31137.7194
2022-04-30 15:00:00,2784.0,2823.38,2771.01,2816.08,25535.2868
2022-04-30 16:00:00,2816.07,2822.16,2798.75,2801.57,12911.3386
2022-04-30 17:00:00,2801.58,2804.67,2780.58,2786.01,18160.0382
2022-04-30 18:00:00,2786.0,2795.0,2775.03,2794.0,13324.0472
2022-04-30 19:00:00,2794.0,2811.0,2788.36,2806.73,10467.8514
2022-04-30 20:00:00,2806.74,2807.86,2786.01,2790.03,9233.4066
2022-04-30 21:00:00,2790.04,2799.81,2785.35,2795.14,9959.1123
2022-04-30 22:00:00,2795.14,2797.0,2780.0,2781.21,14984.5502
2022-04-30 23:00:00,2781.22,2785.82,2709.26,2726.66,78941.1119
2022-05-01 00:00:00,2726.67,2746.82,2716.13,2736.52,34271.2824
2022-05-01 01:00:00,2736.52,2777.36,2725.4,2770.25,28650.6369
2022-05-01 02:00:00,2770.26,2780.62,2754.76,2758.16,16032.0927
2022-05-01 03:00:00,2758.16,2777.77,2758.16,2777.15,11460.1022
2022-05-01 04:00:00,2777.15,2780.63,2764.18,2772.53,22573.0431
2022-05-01 05:00:00,2772.54,2795.15,2769.23,2782.0,18816.3113
2022-05-01 06:00:00,2782.01,2791.79,2772.0,2776.05,13166.7918
2022-05-01 07:00:00,2776.04,2779.35,2764.67,2766.39,14489.5712
2022-05-01 08:00:00,2766.4,2782.0,2765.18,2778.31,12854.7075
2022-05-01 09:00:00,2778.31,2780.64,2756.8,2768.31,8475.5507
