open_time,open,high,low,close,volume
2023-02-27 00:00:00,1641.37,1641.75,1635.47,1637.47,12090.3427
2023-02-27 01:00:00,1637.48,1643.89,1632.06,1643.36,11630.3632
2023-02-27 02:00:00,1643.35,1650.91,1639.28,1640.81,16265.8863
2023-02-27 03:00:00,1640.8,1646.1,1639.37,1640.67,13787.3311
2023-02-27 04:00:00,1640.68,1641.08,1635.0,1635.5,11479.7852
2023-02-27 05:00:00,1635.49,1638.8,1631.15,1633.87,12334.9204
2023-02-27 06:00:00,1633.88,1637.62,1632.48,1635.74,7709.9133
2023-02-27 07:00:00,1635.74,1639.64,1635.7,1636.33,10569.586
2023-02-27 08:00:00,1636.32,1639.88,1632.13,1634.21,12538.7375
2023-02-27 09:00:00,1634.21,1641.97,1633.29,1637.56,12230.7018
2023-02-27 10:00:00,1637.56,1639.62,1633.76,1636.74,7922.757
2023-02-27 11:00:00,1636.73,1643.57,1636.54,1641.23,12021.5898
2023-02-27 12:00:00,1641.24,1642.93,1638.07,1639.59,11483.1997
2023-02-27 13:00:00,1639.59,1665.22,1639.58,1660.16,43932.3407
2023-02-27 14:00:00,1660.15,1663.52,1654.07,1658.61,35013.3908
2023-02-27 15:00:00,1658.62,1663.59,1635.89,1644.26,37867.5972
2023-02-27 16:00:00,1644.27,1646.65,1623.67,1637.49,38998.0805
2023-02-27 17:00:00,1637.5,1638.78,1628.46,1632.78,15931.5461
2023-02-27 18:00:00,1632.79,1635.17,1615.16,1624.48,29062.7166
2023-02-27 19:00:00,1624.47,1627.11,1616.5,1622.12,19814.2433
2023-02-27 20:00:00,1622.12,1623.47,1608.0,1622.66,24150.5639
2023-02-27 21:00:00,1622.66,1628.17,1622.11,1627.2,14932.8209
2023-02-27 22:00:00,1627.2,1636.0,1624.17,1631.09,11389.5293
2023-02-27 23:00:00,1631.08,1636.44,1630.65,1633.45,8703.4696
2023-02-28 00:00:00,1633.45,1636.23,1626.95,1628.44,18796.4505
2023-02-28 01:00:00,1628.45,1633.54,1626.79,1632.1,9706.5352
2023-02-28 02:00:00,1632.1,1633.48,1628.08,1630.53,9127.6029
2023-02-28 03:00:00,1630.54,1635.54,1629.77,1632.89,7730.4574
2023-02-28 04:00:00,1632.89,1632.96,1622.86,1627.47,8832.902
2023-02-28 05:00:00,1627.47,1629.93,1626.04,1626.69,8290.3135
2023-02-28 06:00:00,1626.68,1630.0,1625.87,1628.62,5856.3648
2023-02-28 07:00:00,1628.61,1629.2,1617.87,1619.24,18239.7089
2023-02-28 08:00:00,1619.23,1624.28,1616.34,1621.01,14283.0221
2023-02-28 09:00:00,1621.0,1625.0,1617.77,1620.65,9002.4595
2023-02-28 10:00:00,1620.65,1627.55,1620.01,1626.05,9472.3452
2023-02-28 11:00:00,1626.05,1631.87,1625.61,1629.53,13537.464
2023-02-28 12:00:00,1629.52,1639.3,1629.52,1636.46,15591.1889
2023-02-28 13:00:00,1636.46,1642.55,1631.0,1632.88,18343.5238
2023-02-28 14:00:00,1632.88,1647.52,1628.81,1634.91,29345.8425
2023-02-28 15:00:00,1634.9,1643.53,1631.83,1641.3,22550.2755
2023-02-28 16:00:00,1641.29,1646.38,1634.02,1635.57,20505.6837
2023-02-28 17:00:00,1635.58,1644.77,1635.26,1643.82,12154.5777
2023-02-28 18:00:00,1643.81,1645.87,1638.53,1642.07,11857.6554
2023-02-28 19:00:00,1642.06,1643.37,1622.46,1628.01,20754.8499
2023-02-28 20:00:00,1628.01,1633.35,1621.54,1627.57,17791.1493
2023-02-28 21:00:00,1627.57,1627.58,1596.66,1605.19,44685.0127
2023-02-28 22:00:00,1605.19,1613.75,1598.23,1612.45,27109.4906
2023-02-28 23:00:00,1612.46,1612.46,1603.0,1605.23,19958.2887
2023-03-01 00:00:00,1605.24,1611.09,1595.0,1601.73,26622.7401
2023-03-01 01:00:00,1601.74,1615.61,1599.01,1613.95,18957.3185
2023-03-01 02:00:00,1613.95,1621.7,1613.46,1621.7,13257.0315
2023-03-01 03:00:00,1621.7,1640.72,1619.76,1638.38,39087.6659
2023-03-01 04:00:00,1638.39,1660.0,1635.62,1658.99,35627.3684
