Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,BTC-USD,ETH-USD,USDC-USD,USDT-USD,BTC-USD,ETH-USD,USDC-USD,USDT-USD,BTC-USD,ETH-USD,USDC-USD,USDT-USD,BTC-USD,ETH-USD,USDC-USD,USDT-USD,BTC-USD,ETH-USD,USDC-USD,USDT-USD,BTC-USD,ETH-USD,USDC-USD,USDT-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,7200.17431640625,130.802001953125,1.004078984260559,0.9998360276222229,7200.17431640625,130.802001953125,1.004078984260559,0.9998360276222229,7254.33056640625,132.83535766601562,1.006639003753662,1.0068730115890503,7174.9443359375,129.1982879638672,1.0019890069961548,0.994924008846283,7194.89208984375,129.6306610107422,1.003730058670044,0.9995710253715515,18565664997,7935230330,242586528,21503143454
2020-01-02,6985.47021484375,127.4101791381836,1.0050170421600342,1.0015649795532227,6985.47021484375,127.4101791381836,1.0050170421600342,1.0015649795532227,7212.1552734375,130.82003784179688,1.0126359462738037,1.008450984954834,6935.27001953125,126.95491027832031,1.0025429725646973,0.9865149855613708,7202.55126953125,130.82003784179688,1.0044310092926025,0.9997879862785339,20802083465,8032709256,318268134,24212314977
2020-01-03,7344.88427734375,134.1717071533203,1.0052729845046997,1.0041919946670532,7344.88427734375,134.1717071533203,1.0052729845046997,1.0041919946670532,7413.71533203125,134.55401611328125,1.0079280138015747,1.022286057472229,6914.99609375,126.49002075195312,0.9884549975395203,0.9880269765853882,6984.4287109375,127.41126251220703,1.005357027053833,1.001183032989502,28111481032,10476845358,374792167,32420287856
2020-01-04,7410.65673828125,135.06936645507812,1.0094660520553589,1.007472038269043,7410.65673828125,135.06936645507812,1.0094660520553589,1.007472038269043,7427.3857421875,136.05271911621094,1.0183910131454468,1.0136330127716064,7309.51416015625,133.04055786132812,1.0012730360031128,0.9991599917411804,7345.37548828125,134.16851806640625,1.0048179626464844,1.0035099983215332,18444271275,7430904515,334494308,21585629320
2020-01-05,7411.3173828125,136.2767791748047,1.0084969997406006,1.0061969757080078,7411.3173828125,136.2767791748047,1.0084969997406006,1.0061969757080078,7544.4970703125,139.4102020263672,1.0187180042266846,1.0161609649658203,7400.53564453125,135.04562377929688,1.003931999206543,1.0017579793930054,7410.45166015625,135.0720977783203,1.0087480545043945,1.0099209547042847,19725074095,7526675353,334597544,24090142146
2020-01-06,7769.21923828125,144.3041534423828,1.0031189918518066,1.0029029846191406,7769.21923828125,144.3041534423828,1.0031189918518066,1.0029029846191406,7781.8671875,144.32818603515625,1.0151820182800293,1.0135890245437622,7409.29296875,136.0796356201172,0.9996349811553955,0.999114990234375,7410.4521484375,136.3055419921875,1.00907301902771,1.0064170360565186,23276261598,9093747121,383494516,29460474864
2020-01-07,8163.6923828125,143.5439910888672,0.9994999766349792,1.001723051071167,8163.6923828125,143.5439910888672,0.9994999766349792,1.001723051071167,8178.2158203125,145.00177001953125,1.0109139680862427,1.011154055595398,7768.2275390625,140.48887634277344,0.9978169798851013,0.9982489943504333,7768.68212890625,144.31199645996094,1.0036519765853882,1.0030159950256348,28767291327,9257954672,400308774,32765511976
2020-01-08,8079.86279296875,141.2581329345703,1.0046030282974243,1.0042530298233032,8079.86279296875,141.2581329345703,1.0046030282974243,1.0042530298233032,8396.73828125,146.8280029296875,1.013774037361145,1.0159510374069214,7956.7744140625,138.26820373535156,0.9923880100250244,0.9900670051574707,8161.935546875,143.48782348632812,0.999983012676239,1.0020259618759155,31672559265,9387194957,410892668,35175740304
2020-01-09,7879.0712890625,138.9792022705078,1.007030963897705,1.006572961807251,7879.0712890625,138.9792022705078,1.007030963897705,1.006572961807251,8082.2958984375,141.39398193359375,1.011631965637207,1.0101399421691895,7842.40380859375,136.2364044189453,0.9970399737358093,0.9939939975738525,8082.2958984375,141.15577697753906,1.0036120414733887,1.002985954284668,24045990466,7697325348,307584171,28026673217
2020-01-10,8166.55419921875,143.96377563476562,1.0008219480514526,1.0014619827270508,8166.55419921875,143.96377563476562,1.0008219480514526,1.0014619827270508,8166.55419921875,144.16732788085938,1.0162099599838257,1.0116920471191406,7726.77490234375,135.52040100097656,0.994234025478363,0.9948260188102722,7878.3076171875,138.967041015625,1.008286952972412,1.0044440031051636,28714583844,9084816203,350097573,34207037022
2020-01-11,8037.53759765625,142.92710876464844,1.0025290250778198,1.0000909566879272,8037.53759765625,142.92710876464844,1.0025290250778198,1.0000909566879272,8218.359375,146.4809112548828,1.0094130039215088,1.0080779790878296,8029.64208984375,142.2079620361328,0.9953340291976929,0.9933850169181824,8162.19091796875,143.4091033935547,1.0012270212173462,1.0017549991607666,25521165085,9332208590,287180029,31049760361
2020-01-12,8192.494140625,145.87393188476562,1.0043179988861084,1.002478003501892,8192.494140625,145.87393188476562,1.0043179988861084,1.002478003501892,8200.0634765625,146.14585876464844,1.0113840103149414,1.0093580484390259,8009.05908203125,142.7076416015625,0.9970589876174927,0.9944459795951843,8033.26171875,143.0325469970703,1.002040982246399,0.999442994594574,22903438381,8528167453,330297498,27250055613
2020-01-13,8144.1943359375,144.22659301757812,1.0043189525604248,1.0033470392227173,8144.1943359375,144.22659301757812,1.0043189525604248,1.0033470392227173,8197.7880859375,146.79122924804688,1.0120619535446167,1.0100979804992676,8079.70068359375,142.90713500976562,1.0005789995193481,0.9984269738197327,8189.77197265625,146.2201385498047,1.004209041595459,1.0019630193710327,22482910688,8378529470,343177235,26468468000
2020-01-14,8827.7646484375,165.95535278320312,1.0023709535598755,1.0018210411071777,8827.7646484375,165.95535278320312,1.0023709535598755,1.0018210411071777,8879.51171875,167.68154907226562,1.0195369720458984,1.0189590454101562,8140.93310546875,144.06492614746094,0.9944859743118286,0.9919610023498535,8140.93310546875,144.2510528564453,1.0053470134735107,1.004729986190796,44841784107,16712318373,469120389,57687160761
2020-01-15,8807.0107421875,166.23068237304688,1.0011650323867798,0.9996560215950012,8807.0107421875,166.23068237304688,1.0011650323867798,0.9996560215950012,8890.1171875,170.42567443847656,1.026960015296936,1.0224930047988892,8657.1875,161.109619140625,0.9921919703483582,0.9910550117492676,8825.34375,165.734619140625,1.001539945602417,1.0025399923324585,40102834650,15173694057,493412531,49045902728
2020-01-16,8723.7861328125,164.39100646972656,1.002668023109436,0.9992309808731079,8723.7861328125,164.39100646972656,1.002668023109436,0.9992309808731079,8846.4609375,167.0581512451172,1.00736403465271,1.011167049407959,8612.095703125,159.7096405029297,0.9989929795265198,0.9933609962463379,8812.4814453125,166.33282470703125,1.0010709762573242,1.0009770393371582,31313981931,13735193018,430662074,40752742739
2020-01-17,8929.0380859375,170.7799530029297,1.0045230388641357,1.002879023551941,8929.0380859375,170.7799530029297,1.0045230388641357,1.002879023551941,8958.1220703125,173.0692138671875,1.0065150260925293,1.0141350030899048,8677.31640625,162.77560424804688,0.9983180165290833,0.9892799854278564,8725.2099609375,164.4893798828125,1.0025219917297363,0.9992870092391968,36372139320,14997091826,479116540,47263851458
2020-01-18,8942.80859375,175.3656768798828,1.0053199529647827,1.0027409791946411,8942.80859375,175.3656768798828,1.0053199529647827,1.0027409791946411,9012.1982421875,178.52877807617188,1.0077639818191528,1.0069910287857056,8827.33203125,166.7890167236328,0.9998390078544617,0.9939849972724915,8927.2119140625,170.7477264404297,1.004148006439209,1.0012580156326294,32337772627,14929342256,413666367,43805026250
2020-01-19,8706.2451171875,166.9698486328125,0.9972900152206421,0.9985349774360657,8706.2451171875,166.9698486328125,0.9972900152206421,0.9985349774360657,9164.3623046875,177.2476348876953,1.0252530574798584,1.0259120464324951,8620.080078125,163.67686462402344,0.9938600063323975,0.9930840134620667,8941.4453125,175.46759033203125,1.0050820112228394,1.000910997390747,34217320471,13713374132,423373607,42680566067
